Service Delivery Area(T),Service Delivery Team(T),CostC,ExpenditureGroup(T),Account(T),Supplier Name(T),Trans Date,Amount
"Development, Business & Employment",Regeneration & Investment,CEAN,Supplies & Services,Security Services,FCC Environment,03/09/2014,7586.58
"Development, Business & Employment",Regeneration & Investment,CEAN,Supplies & Services,Security Services,FCC Environment,03/09/2014,7586.58
"Development, Business & Employment",Regeneration & Investment,CEAN,Supplies & Services,Security Services,FCC Environment,24/09/2014,7586.58
"Development, Business & Employment",Regeneration & Investment,CEAV,Premises-Related Expenditure,R&M -Building Other,Gilvar Lining Limited,17/09/2014,425
"Development, Business & Employment",Regeneration & Investment,CEAV,Premises-Related Expenditure,Electricity,West Mercia Energy (WME),11/09/2014,3227.32
"Development, Business & Employment",Regeneration & Investment,CEAV,Supplies & Services,Printing - Other,BembroseBooth Paragon,12/09/2014,340.9
"Development, Business & Employment",Regeneration & Investment,CEAV,Supplies & Services,Telephones,BRITISH TELECOMMUNICATIONS PLC,05/09/2014,151.54
"Development, Business & Employment",Regeneration & Investment,CEAV,Supplies & Services,Telephones,BRITISH TELECOMMUNICATIONS PLC,05/09/2014,151.54
"Development, Business & Employment",Regeneration & Investment,CEAV,Supplies & Services,Telephones,BRITISH TELECOMMUNICATIONS PLC,16/09/2014,144.99
"Development, Business & Employment",Regeneration & Investment,CEAV,Supplies & Services,Other Services,BUSINESS WATCH GUARDING LIMITED,12/09/2014,3124.98
"Development, Business & Employment",Regeneration & Investment,CEAV,Supplies & Services,Other Services,BUSINESS WATCH GUARDING LIMITED,01/09/2014,3094.04
"Development, Business & Employment",Regeneration & Investment,CEAV,Supplies & Services,Other Services,BUSINESS WATCH GUARDING LIMITED,01/09/2014,3124.98
"Development, Business & Employment",Regeneration & Investment,CEAV,Supplies & Services,Other Services,BUSINESS WATCH GUARDING LIMITED,16/09/2014,467
"Development, Business & Employment",Regeneration & Investment,DDBC,Supplies & Services,Legal Expenses,EV AND CJ DORRELL,01/09/2014,8325
"Development, Business & Employment",Regeneration & Investment,WCCA,Capital Expenditure,Payments to Contractor,APT CONTROLS LTD,23/09/2014,8040.89
"Development, Business & Employment",Regeneration & Investment,WCCA,Capital Expenditure,Payments to Contractor,BUSINESS WATCH GUARDING LIMITED,24/09/2014,900.55
"Development, Business & Employment",Regeneration & Investment,WCCA,Capital Expenditure,Payments to Contractor,Churches Fire Security Ltd,23/09/2014,511.36
"Development, Business & Employment",Regeneration & Investment,WCCA,Capital Expenditure,Payments to Contractor,Churches Fire Security Ltd,23/09/2014,1183.37
"Development, Business & Employment",Regeneration & Investment,WCCA,Capital Expenditure,Payments to Contractor,Contracts & Procurement Advice Limited,23/09/2014,248.00
"Development, Business & Employment",Regeneration & Investment,WCCA,Capital Expenditure,Payments to Contractor,FITZGERALD CONTRACTORS LTD,26/09/2014,6931.81
"Development, Business & Employment",Regeneration & Investment,WCCA,Capital Expenditure,Payments to Contractor,FITZGERALD CONTRACTORS LTD,26/09/2014,25530.58
"Development, Business & Employment",Regeneration & Investment,WCCA,Capital Expenditure,Payments to Contractor,FITZGERALD CONTRACTORS LTD,26/09/2014,36876.97
"Development, Business & Employment",Regeneration & Investment,WCCA,Capital Expenditure,Payments to Contractor,FITZGERALD CONTRACTORS LTD,26/09/2014,2346.7
"Development, Business & Employment",Regeneration & Investment,WCCA,Capital Expenditure,Payments to Contractor,FITZGERALD CONTRACTORS LTD,26/09/2014,3402.39
"Development, Business & Employment",Regeneration & Investment,WCCA,Capital Expenditure,Payments to Contractor,FITZGERALD CONTRACTORS LTD,26/09/2014,8798.43
"Development, Business & Employment",Regeneration & Investment,WCCA,Capital Expenditure,Payments to Contractor,FITZGERALD CONTRACTORS LTD,26/09/2014,14059.41
"Development, Business & Employment",Regeneration & Investment,WCCA,Capital Expenditure,Payments to Contractor,FITZGERALD CONTRACTORS LTD,26/09/2014,645.96
"Development, Business & Employment",Regeneration & Investment,WCCA,Capital Expenditure,Payments to Contractor,FREETH CARTWRIGHT LLP,23/09/2014,610.5
"Development, Business & Employment",Regeneration & Investment,WCCA,Capital Expenditure,Payments to Contractor,Harbourside Developments Ltd,26/09/2014,126805.91
"Development, Business & Employment",Regeneration & Investment,WCCA,Capital Expenditure,Payments to Contractor,Image Technique Limited,18/09/2014,21417.2
"Development, Business & Employment",Regeneration & Investment,WCCA,Capital Expenditure,External Professional Fees,MACE LTD,01/09/2014,6491.27
"Development, Business & Employment",Regeneration & Investment,WCCA,Capital Expenditure,External Professional Fees,MACE LTD,01/09/2014,6491.27
"Development, Business & Employment",Regeneration & Investment,WCCA,Capital Expenditure,Payments to Contractor,Protec Fire Detection PLC,23/09/2014,1761.26
"Development, Business & Employment",Regeneration & Investment,WCCA,Capital Expenditure,Marketing / Advertising,SIGNS EXPRESS (TELFORD),02/09/2014,2470
"Development, Business & Employment",Regeneration & Investment,WCCA,Capital Expenditure,Marketing / Advertising,SIGNS EXPRESS (TELFORD),02/09/2014,747
"Development, Business & Employment",Regeneration & Investment,WCCA,Capital Expenditure,Payments to Contractor,SPECIALIST COMPUTERS CENTRES PLC,03/09/2014,100.16
"Development, Business & Employment",Regeneration & Investment,WCCA,Capital Expenditure,Payments to Contractor,SPECIALIST COMPUTERS CENTRES PLC,24/09/2014,3003.63
"Development, Business & Employment",Regeneration & Investment,WCCA,Capital Expenditure,Payments to Contractor,TDR Heating & Ventilation Engineers,26/09/2014,"110,671.60"
"Development, Business & Employment",Regeneration & Investment,WCCA,Capital Expenditure,Payments to Contractor,TELFORD & WREKIN SERVICES LTD,23/09/2014,2179.5
"Development, Business & Employment",Regeneration & Investment,WCCA,Capital Expenditure,Payments to Contractor,THE ROYAL SOCIETY FOR THE PREVENTION OF ACCIDENTS,23/09/2014,779.70
"Development, Business & Employment",Regeneration & Investment,WCHC,Capital Expenditure,Other Capital Expenditure,Redacted Personal Information ,01/09/2014,18111.51
"Development, Business & Employment",Regeneration & Investment,WCHC,Capital Expenditure,Payments to Contractor,GRANVILLE CONSTRUCTION & MAINTENANCE LTD,29/09/2014,414.67
"Development, Business & Employment","Skills Delivery, Lifelong Learning, Careers & Youth Emplyment",ALAA,Supplies & Services,Sub Contractors,Macbrac Training and Development,30/09/2014,400
"Development, Business & Employment","Skills Delivery, Lifelong Learning, Careers & Youth Emplyment",ALAG,Premises-Related Expenditure,Hire Of Rooms,Impact Alcohol Addiction Services,04/09/2014,280
"Development, Business & Employment","Skills Delivery, Lifelong Learning, Careers & Youth Emplyment",ALAK,Supplies & Services,Equipment - Purchase,MICRODEC PLC,23/09/2014,1969.5
"Development, Business & Employment","Skills Delivery, Lifelong Learning, Careers & Youth Emplyment",ALAR,Supplies & Services,Comp Software (Purch / Hire),CogniSoft Limited,08/09/2014,4250
"Development, Business & Employment","Skills Delivery, Lifelong Learning, Careers & Youth Emplyment",ALAR,Supplies & Services,Advertising,THE MIDLAND NEWS ASSOCIATION LTD,25/09/2014,284.62
"Development, Business & Employment","Skills Delivery, Lifelong Learning, Careers & Youth Emplyment",ANAG,Supplies & Services,Other Grants (Expenses),CENTRAL TAXIS LTD SHREWSBURY,26/09/2014,243
"Development, Business & Employment","Skills Delivery, Lifelong Learning, Careers & Youth Emplyment",ANAG,Supplies & Services,Other Grants (Expenses),CENTRAL TAXIS LTD SHREWSBURY,26/09/2014,217.5
"Development, Business & Employment","Skills Delivery, Lifelong Learning, Careers & Youth Emplyment",ANAG,Third Party Payments,Private Contractors,LANDAU LTD,29/09/2014,9000
"Development, Business & Employment","Skills Delivery, Lifelong Learning, Careers & Youth Emplyment",ANAG,Third Party Payments,Private Contractors,THE EDUCATION DEVELOPMENT SERVICE LTD,29/09/2014,6000
"Development, Business & Employment","Skills Delivery, Lifelong Learning, Careers & Youth Emplyment",KSAX,Third Party Payments,Agency Services,Ruskin Mill Trust,04/09/2014,19153
Education & Corporate Parenting,"Achievement, Standards & Alternative Provision",GBAF,Employees,Course Fees,Crisis Prevention Institute Europe,29/09/2014,1260
Education & Corporate Parenting,"Achievement, Standards & Alternative Provision",KSAC,Supplies & Services,Comp Software (Purch / Hire),Perspective,12/09/2014,9800
Education & Corporate Parenting,"Achievement, Standards & Alternative Provision",WKAB,Capital Expenditure,Computer Hardware,SPECIALIST COMPUTERS CENTRES PLC,30/09/2014,310.22
Education & Corporate Parenting,"Achievement, Standards & Alternative Provision",WKAB,Capital Expenditure,Computer Hardware,SPECIALIST COMPUTERS CENTRES PLC,30/09/2014,110.24
Education & Corporate Parenting,"Achievement, Standards & Alternative Provision",WKAB,Capital Expenditure,Computer Hardware,SPECIALIST COMPUTERS CENTRES PLC,30/09/2014,"1,137.56"
Education & Corporate Parenting,"Achievement, Standards & Alternative Provision",WKAJ,Capital Expenditure,Computer Hardware,Capita IT Services (BSF) Limited,02/09/2014,380.65
Education & Corporate Parenting,"Achievement, Standards & Alternative Provision",WKAJ,Capital Expenditure,Computer Hardware,EUROPEAN ELECTRONIQUE LTD,03/09/2014,"1,399.82"
Education & Corporate Parenting,"Achievement, Standards & Alternative Provision",WKAJ,Capital Expenditure,Computer Hardware,EUROPEAN ELECTRONIQUE LTD,03/09/2014,1200.54
Education & Corporate Parenting,"Achievement, Standards & Alternative Provision",WKAJ,Capital Expenditure,Computer Hardware,PLANET PC,10/09/2014,907.00
Education & Corporate Parenting,"Achievement, Standards & Alternative Provision",WKAJ,Capital Expenditure,Computer Hardware,PLANET PC,10/09/2014,"3,500.00"
Education & Corporate Parenting,"Achievement, Standards & Alternative Provision",WKAJ,Capital Expenditure,Computer Hardware,SPECIALIST COMPUTERS CENTRES PLC,30/09/2014,305.4
Education & Corporate Parenting,"Achievement, Standards & Alternative Provision",WKAJ,Capital Expenditure,Computer Hardware,SPECIALIST COMPUTERS CENTRES PLC,16/09/2014,"4,064.75"
Education & Corporate Parenting,"Achievement, Standards & Alternative Provision",WKAJ,Capital Expenditure,Computer Hardware,SPECIALIST COMPUTERS CENTRES PLC,16/09/2014,"52,414.50"
Education & Corporate Parenting,"Achievement, Standards & Alternative Provision",WKAJ,Capital Expenditure,Computer Hardware,SPECIALIST COMPUTERS CENTRES PLC,16/09/2014,900.00
Education & Corporate Parenting,"Achievement, Standards & Alternative Provision",WKAJ,Capital Expenditure,Computer Hardware,SYNETRIX LTD,17/09/2014,2950
Education & Corporate Parenting,"Achievement, Standards & Alternative Provision",WKBB,Capital Expenditure,Computer Hardware,A&R Engineering Ltd,25/09/2014,537.50
Education & Corporate Parenting,"Achievement, Standards & Alternative Provision",WKBB,Capital Expenditure,Computer Hardware,AT COMPUTERS LTD,10/09/2014,"6,250.00"
Education & Corporate Parenting,"Achievement, Standards & Alternative Provision",WKBB,Capital Expenditure,Computer Hardware,GALTEC S0LUTIONS LTD,10/09/2014,"15,858.90"
Education & Corporate Parenting,Building Schools for the Future (BSF),WGAC,Capital Expenditure,External Professional Fees,MOTT MACDONALD LIMITED,17/09/2014,270.39
Education & Corporate Parenting,Building Schools for the Future (BSF),WGAC,Capital Expenditure,Legal Fees,WARD HADAWAY SOLICITORS,19/09/2014,619.8
Education & Corporate Parenting,Building Schools for the Future (BSF),WGAD,Capital Expenditure,Legal Fees,WARD HADAWAY SOLICITORS,19/09/2014,1225.6
Education & Corporate Parenting,Building Schools for the Future (BSF),WGAE,Capital Expenditure,Payments to Contractor,FITZGERALD CONTRACTORS LTD,24/09/2014,72998.53
Education & Corporate Parenting,Building Schools for the Future (BSF),WGAE,Capital Expenditure,Payments to Contractor,FITZGERALD CONTRACTORS LTD,24/09/2014,33113.17
Education & Corporate Parenting,Building Schools for the Future (BSF),WGAE,Capital Expenditure,Payments to Contractor,FITZGERALD CONTRACTORS LTD,24/09/2014,38850.52
Education & Corporate Parenting,Building Schools for the Future (BSF),WGAE,Capital Expenditure,Payments to Contractor,FITZGERALD CONTRACTORS LTD,17/09/2014,381.78
Education & Corporate Parenting,Building Schools for the Future (BSF),WGAE,Capital Expenditure,External Professional Fees,Gage-Tupper & Associates Ltd,17/09/2014,2322
Education & Corporate Parenting,Building Schools for the Future (BSF),WGAE,Capital Expenditure,Payments to Contractor,MCPHILLIPS (WELLINGTON) LTD,11/09/2014,21783.92
Education & Corporate Parenting,Building Schools for the Future (BSF),WGAE,Capital Expenditure,Payments to Contractor,MCPHILLIPS (WELLINGTON) LTD,30/09/2014,63828.03
Education & Corporate Parenting,Building Schools for the Future (BSF),WGAE,Capital Expenditure,External Professional Fees,MOTT MACDONALD LIMITED,17/09/2014,224.32
Education & Corporate Parenting,Building Schools for the Future (BSF),WGAE,Capital Expenditure,External Professional Fees,MOTT MACDONALD LIMITED,17/09/2014,609.37
